order_id,user_id,restaurant_id,order_date,total_amount,items_ordered,payment_method,order_status
ORD0318,USR048,RST056,31/05/2024,1135,"Mutton Rogan Josh, Idli Sambhar, Hakka Noodles, Pav Bhaji, Chicken Biryani",UPI,Completed
ORD0319,USR116,RST002,31/05/2024,2646,"Fried Rice, Mutton Rogan Josh, Chicken Curry, Samosa",Wallet,Completed
ORD0320,USR162,RST019,31/05/2024,2451,"Aloo Tikki, Chicken Biryani, Chicken Curry, Mutton Rogan Josh",Wallet,Completed
ORD0321,USR190,RST003,31/05/2024,1513,"Mutton Rogan Josh, Dal Makhani, Paneer Butter Masala, Pav Bhaji, Aloo Tikki",Wallet,Completed
ORD0322,USR034,RST039,1/6/2024,2829,"Butter Naan, Mutton Rogan Josh",Wallet,Cancelled
ORD0323,USR117,RST069,1/6/2024,3111,"Butter Naan, Fried Rice, Pav Bhaji, Masala Dosa",Wallet,Completed
ORD0324,USR135,RST049,1/6/2024,2495,"Fried Rice, Aloo Tikki, Veg Pulao",Cash,Completed
ORD0325,USR201,RST076,1/6/2024,2763,"Chicken Curry, Paneer Butter Masala, Mutton Rogan Josh, Fried Rice",Wallet,Cancelled
ORD0326,USR221,RST049,1/6/2024,3168,"Samosa, Mutton Rogan Josh, Chicken Biryani, Dal Makhani, Paneer Butter Masala",Cash,Completed
ORD0327,USR074,RST036,2/6/2024,2400,"Veg Pulao, Masala Dosa, Mutton Rogan Josh, Chicken Curry",UPI,Completed
ORD0328,USR133,RST078,2/6/2024,670,"Aloo Tikki, Chicken Curry, Masala Dosa, Hakka Noodles",Credit Card,Completed
ORD0329,USR050,RST043,3/6/2024,3452,"Chicken Biryani, Mutton Rogan Josh, Butter Naan, Dal Makhani",Wallet,Cancelled
ORD0330,USR102,RST055,3/6/2024,629,"Aloo Tikki, Butter Naan",Credit Card,Completed
ORD0331,USR137,RST030,3/6/2024,2337,"Mutton Rogan Josh, Butter Naan, Dal Makhani, Samosa, Chole Bhature",Wallet,Completed
ORD0332,USR179,RST017,3/6/2024,1828,"Aloo Tikki, Masala Dosa",UPI,Cancelled
ORD0333,USR234,RST035,3/6/2024,485,"Fried Rice, Samosa, Masala Dosa, Paneer Butter Masala, Chicken Curry",UPI,Completed
ORD0334,USR021,RST015,4/6/2024,1130,"Dal Makhani, Chicken Biryani",Cash,Completed
ORD0335,USR158,RST078,4/6/2024,1570,"Paneer Butter Masala, Pav Bhaji, Veg Pulao",Cash,Completed
ORD0336,USR188,RST047,4/6/2024,2278,"Fried Rice, Samosa, Masala Dosa, Chicken Biryani, Dal Makhani",UPI,Completed
ORD0337,USR032,RST013,5/6/2024,748,"Mutton Rogan Josh, Chicken Curry",Cash,Completed
ORD0338,USR041,RST014,5/6/2024,3148,"Chicken Biryani, Paneer Butter Masala, Hakka Noodles, Dal Makhani, Chicken Curry",UPI,Completed
ORD0339,USR206,RST008,5/6/2024,1997,"Pav Bhaji, Chicken Biryani, Butter Naan",Credit Card,Cancelled
ORD0340,USR226,RST066,5/6/2024,888,"Hakka Noodles, Pav Bhaji, Masala Dosa, Chole Bhature, Idli Sambhar",Credit Card,Completed
ORD0341,USR227,RST042,5/6/2024,2598,"Veg Pulao, Paneer Butter Masala",UPI,Completed
ORD0342,USR006,RST012,6/6/2024,638,"Fried Rice, Masala Dosa, Dal Makhani",Credit Card,Completed
ORD0343,USR012,RST009,6/6/2024,774,"Butter Naan, Mutton Rogan Josh, Masala Dosa, Veg Pulao",Wallet,Completed
ORD0344,USR064,RST001,6/6/2024,2876,"Chole Bhature, Dal Makhani, Veg Pulao, Idli Sambhar",Wallet,Completed
ORD0345,USR069,RST013,6/6/2024,2710,"Mutton Rogan Josh, Chicken Curry, Veg Pulao",UPI,Cancelled
ORD0346,USR085,RST013,6/6/2024,1126,"Mutton Rogan Josh, Chicken Curry, Fried Rice, Aloo Tikki, Dal Makhani",UPI,Completed
ORD0347,USR093,RST046,6/6/2024,2091,"Hakka Noodles, Idli Sambhar",Wallet,Completed
ORD0348,USR125,RST073,6/6/2024,1381,"Mutton Rogan Josh, Idli Sambhar",UPI,Completed
ORD0349,USR156,RST042,6/6/2024,2958,"Chole Bhature, Veg Pulao, Pav Bhaji, Masala Dosa, Chicken Biryani",Cash,Completed
ORD0350,USR157,RST080,6/6/2024,1342,"Pav Bhaji, Fried Rice, Masala Dosa, Hakka Noodles",UPI,Completed
